ParcelleID,Exploitant,Email,Telephone,NumSIRET,Region,Surface_ha,TypeCulture,TypeSol,Irrigation,DateMiseEnCulture,CodePostal
P0001,,maxime.michel@free.fr,0189254563,130 195 323 40495,Hauts-de-France,143.35,Colza,Calcaire,Aspersion,2025-04-26,62000
P0002,Hugo Mercier,hugo.mercier@sfr.fr,07 54 87 43 15,649 227 487 20328,Hauts-de-France,177.15,Vigne,Limoneux,Goutte-à-goutte,2024-03-25,59000
P0003,Dominique Fournier,fournier.dominique@yahoo.fr,07 36 95 44 99,763 173 723 93227,Bretagne,92.72,Vigne,Limoneux,Gravitaire,2024-03-27,XXXXX
P0004,Patrick Faure,faure.patrick@agricole.coop,+33 4 92 68 28 43,862 674 651 44438,Normandie,72.72,Maïs,Calcaire,Goutte-à-goutte,2024-02-05,50000
P0005,Julien Moreau,moreau.julien@yahoo.fr,01 97 78 44 92,400 545 261 69470,Occitanie,53.05,Colza,Limoneux,Goutte-à-goutte,2025-03-05,66000
P0006,Stéphane Caron,scaron@agricole.coop,,999 951 926 50306,Grand Est,189.42,Blé,Calcaire,Goutte-à-goutte,2024-03-22,55000
P0007,André Bonnet,andre70@free.fr,+33 6 93 57 66 76,353 330 165 54313,Occitanie,44.43,Blé,Argileux,Aspersion,2024-02-28,09000
P0008,Renée Masson,rmasson@wanadoo.fr,+33 7 62 34 22 22,462 533 520 71213,Occitanie,20.13,Tournesol,Sableux,Goutte-à-goutte,2024-03-07,66000
P0009,Valérie David,valerie.david@gmail.com,,956 115 195 40982,Bretagne,173.0,Blé,Limoneux,Aucune,2024-05-09,56100
P0010,Bernard Mercier,bmercier@outlook.fr,07 37 17 84 79,,Centre-Val de Loire,100.82,Colza,Limoneux,Goutte-à-goutte,2024-03-03,18000
P0011,Colette Girard,colette.girard@agricole.coop,+33 6 84 82 76 50,309 785 833 51180,Grand Est,129.28,Tournesol,Sableux,Goutte-à-goutte,2024-05-20,57000
P0012,François Robin,francois9@sfr.fr,06 66 79 48 88,926 769 641 11025,Hauts-de-France,187.82,Maïs,Sableux,Goutte-à-goutte,2024-03-09,62000
P0013,Chloé Rousseau,crousseau@laposte.net,01 91 64 45 15,,Bretagne,148.38,Colza,Calcaire,Goutte-à-goutte,2024-02-23,35000
P0014,Hélène Muller,muller.helene@wanadoo.fr,03 36 97 41 95,898 673 995 63264,Normandie,47.73,Maïs,Limoneux,Aucune,2024-03-24,50000
P0015,Margaux Duval,margaux.duval@laposte.net,04 38 35 68 54,914 992 333 39219,Occitanie,56.08,Blé,Sableux,Gravitaire,2025-04-01,30000
P0016,Andrée Nicolas,anicolas@gmail.com,07 65 87 75 24,690 294 360 15817,Bourgogne-Franche-Comté,-0.37,Colza,Limoneux,Gravitaire,2025-02-22,58000
P0017,Antoine Gérard,agerard@outlook.fr,07 80 26 34 63,488 793 866 32810,Normandie,166.83,Vigne,Sableux,Aspersion,2025-04-15,14000
P0018,Nicolas Boyer,nicolas.boyer@wanadoo.fr,0322534217,869 340 788 50687,Grand Est,9.72,Tournesol,Argileux,Aucune,2025-03-23,52000
